"date","type","AI1","momentum","QQQ3","Nasdaq100Fut","8:38","9:00","sq9:00","9:26","9:30","9:35","9:45","10:00","10:45","11:30","13:30","16:00","成行","target","基準","基準momemtum","Memo","Max,Min","PER100値"
"2021-06-28","6","4","→5","1.1","0.4","0.8","1.0","1.1","0.8","0.8","0.8","1.0","0.7","4.6","4.9","5.0","4.4","↗︎1.4↗︎0.8","0.8","高め","0@388.86","⇨5.5(12:30に5.5%)","5.6,0.5閑散","289.81"
"2021-06-29","1","1","↗︎","0.6","-0.2","0.1","-0.4","0.2","0.0","-0.1","0.8","1.0","0.7","-0.3","-0.8","0.3","1.5","↗︎0.3↗︎0.5","-1.2","高い","1@394.73","⇨1.6(10:15に-1.2%)","1.7,-1.6閑散","289.81"
"","","","","","","","","","","","","","","","","","","","","高い","2","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
